Wegweiser Kommune
Demographischer Wandel
Alle Indikatoren

Indikatoren;"Moers
2006";"Moers
2007";"Moers
2008";"Moers
2009";"Moers
2010";"Moers
2011";"Moers
2012";"Moers
2013";"Moers
2014";"Moers
2015";"Moers
2016"
Bevölkerung (Anzahl);107.180;107.111;106.645;105.929;105.506;103.831;103.504;103.108;102.923;104.529;103.881
"Relative
Bevölkerungsentwicklung
seit 2011 (%)";k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;-0,3;-0,7;-0,9;0,7;0,0
"Relative
Bevölkerungsentwicklung
2012 bis 2030 (%)";-7,2;-7,2;-7,2;-7,2;-7,2;-7,2;-7,2;-7,2;-7,2;-7,2;-7,2
Geburten (je 1.000 Ew.);7,6;7,6;7,4;7,2;7,4;7,3;7,3;7,5;7,4;7,6;7,9
Sterbefälle (je 1.000 Ew.);10,5;10,2;10,2;10,2;10,4;10,7;10,9;11,1;11,2;11,2;11,4
"Natürlicher Saldo (je
1.000 Ew.)";-2,9;-2,5;-2,7;-2,9;-3,0;-3,4;-3,6;-3,6;-3,7;-3,6;-3,4
Zuzüge (je 1.000 Ew.);41,0;40,1;39,7;40,2;41,3;42,4;43,1;44,3;45,4;51,3;54,1
Fortzüge (je 1.000 Ew.);40,1;39,5;40,0;41,1;42,2;43,7;44,0;44,5;45,1;46,2;49,8
"Wanderungssaldo (je 1.000
Ew.)";0,9;0,7;-0,3;-0,9;-0,9;-1,4;-0,9;-0,1;0,3;5,1;4,3
"Familienwanderung (je
1.000 Ew.)";2,9;2,7;1,5;1,6;1,6;1,5;3,3;3,7;5,2;11,1;12,3
"Bildungswanderung (je
1.000 Ew.)";-2,4;-2,5;-8,4;-11,0;-10,8;-13,3;-13,6;-12,9;-12,4;4,9;-3,8
"Wanderung zu Beginn der 2.
Lebenshälfte (je 1.000
Ew.)";0,7;-0,7;-0,8;-0,9;-1,5;-1,1;-1,3;-0,2;-0,3;0,2;-0,1
"Alterswanderung (je 1.000
Ew.)";-1,8;-1,9;-2,1;-2,7;-3,3;-4,6;-5,3;-5,5;-5,6;-4,9;-5,3
Durchschnittsalter (Jahre);43,9;44,2;44,5;44,8;45,1;45,1;45,3;45,6;45,8;45,6;45,7
Medianalter (Jahre);44,7;45,1;45,6;46,2;46,6;46,8;47,2;47,7;48,0;47,9;48,2
"Jugendquotient (unter
20-Jährige je 100 Pers.
der AG 20-64)";32,0;31,5;30,8;30,2;29,6;29,4;28,9;28,5;28,6;29,1;29,4
"Altenquotient (ab
65-Jährige je 100 Pers.
der AG 20-64)";35,8;36,2;36,7;37,0;36,8;36,5;36,6;36,9;37,6;37,6;38,5
"Anteil unter 18-Jährige
(%)";17,1;16,7;16,0;15,8;15,5;15,4;15,4;15,3;15,2;15,3;15,6
Anteil Elternjahrgänge (%);15,3;14,8;14,5;14,3;14,4;14,9;15,2;15,4;15,6;16,2;16,3
"Anteil 65- bis 79-Jährige
(%)";16,8;16,8;16,8;16,7;16,4;16,3;16,3;16,4;16,4;16,2;16,3
Anteil ab 80-Jährige (%);4,5;4,8;5,1;5,4;5,8;5,7;5,8;5,9;6,2;6,4;6,6

"k.A. = keine Angaben bei fehlender Verfügbarkeit, aufgrund von Gebietsstandsänderungen bzw. aus methodischen und inhaltlichen Gründen; weitere Detailinformationen finden Sie auf der Seite Methodik."

Quelle: Statistische Ämter der Länder, ZEFIR, eigene Berechnungen, ies, Deenst GmbH

| Bertelsmann Stiftung
